Xilinx, IO,Index,sysio,pad_mux=0,pad_mux=1,pad_mux=2,pad_mux=3
JB[10],IO_0,0,jtag_tck,,,,
JB[8],IO_1,1,jtag_tdi,,,,
JB[9],IO_2,2,jtag_tdo,,,,
JB[7],IO_3,3,jtag_tms,,,,
SW[0],IO_4,4,jtag_trst,,,,
CLK100MHZ,IO_5,5,ref_clk,,,,
CPU_RESETN,IO_6,6,rstn,,,,
ETH_REFCLK,IO_7,7,eth_refclk,,,,
ETH_RSTN,IO_8,8,eth_rstn,,,,
ETH_CRSDV,IO_9,9,eth_crs_dv,,,,
ETH_RXERR,IO_10,10,eth_rx_er,,,,
ETH_RXD[0],IO_11,11,eth_rxd0,,,,
ETH_RXD[1],IO_12,12,eth_rxd1,,,,
ETH_TXEN,IO_13,13,eth_tx_en,,,,
ETH_TXD[0],IO_14,14,eth_txd0,,,,
ETH_TXD[1],IO_15,15,eth_txd1,,,,
LED[1],IO_16,16,ld_ref_clk_lock,,,,
LED[2],IO_17,17,ld_ref_clk_blink,,,,
LED[3],IO_18,18,ld_eth_clk_lock,,,,
LED[4],IO_19,19,ld_eth_clk_blink,,,,
UART_TXD_IN,IO_20,20,,uart0_rx,,apbio_0,fpgaio_0
UART_RXD_OUT,IO_21,21,,uart0_tx,,apbio_1,fpgaio_1
JB[2],IO_22,22,,uart1_tx,,apbio_2,fpgaio_2
JB[3],IO_23,23,,uart1_rx,,apbio_3,fpgaio_3
LED[0],IO_24,24,,apbio_32,apbio_47,apbio_4,fpgaio_4
JB[4],IO_25,25,,apbio_0,,apbio_5,fpgaio_5
XA_P[1],Jxadc[1],26,,qspim0_csn0,apbio_34,apbio_6,fpgaio_6
XA_P[2],Jxadc[2],27,,qspim0_data0,apbio_35,apbio_7,fpgaio_7
XA_P[3],Jxadc[3],28,,qspim0_data1,apbio_37,apbio_8,fpgaio_8
XA_P[4],Jxadc[4],29,,qspim0_clk,apbio_38,apbio_9,fpgaio_9
XA_N[1],Jxadc[7],30,,apbio_1,apbio_40,apbio_10,fpgaio_10
XA_N[2],Jxadc[8],31,,apbio_2,apbio_41,apbio_11,fpgaio_11
XA_N[3],Jxadc[9],32,,qspim0_data2,apbio_42,apbio_12,fpgaio_12
XA_N[4],Jxadc[10],33,,qspim0_data3,apbio_43,apbio_13,fpgaio_13
JC[1],IO_34,34,,cam0_vsync,apbio_36,apbio_14,fpgaio_14
JC[2],IO_35,35,,cam0_hsync,apbio_39,apbio_15,fpgaio_15
JC[3],IO_36,36,,i2cm0_scl,,apbio_16,fpgaio_16
JC[4],IO_37,37,,i2cm0_sda,,apbio_17,fpgaio_17
JC[7],IO_38,38,,cam0_clk,apbio_33,apbio_18,fpgaio_18
JC[8],IO_39,39,,apbio_32,qspim0_csn1,apbio_19,fpgaio_19
JC[9],IO_40,40,,apbio_48,qspim0_csn2,apbio_20,fpgaio_20
JC[10],IO_41,41,,apbio_49,qspim0_csn3,apbio_21,fpgaio_21
JD[1],IO_42,42,,cam0_data0,qspim1_csn0,apbio_22,fpgaio_22
JD[2],IO_43,43,,cam0_data1,qspim1_data0,apbio_23,fpgaio_23
JD[3],IO_44,44,,cam0_data2,qspim1_data1,apbio_24,fpgaio_24
JD[4],IO_45,45,,cam0_data3,qspim1_clk,apbio_25,fpgaio_25
JD[7],IO_46,46,,cam0_data4,qspim1_csn1,apbio_26,fpgaio_26
JD[8],IO_47,47,,cam0_data5,qspim1_csn2,apbio_27,fpgaio_27
JD[9],IO_48,48,,cam0_data6,qspim1_data2,apbio_28,fpgaio_28
JD[10],IO_49,49,,cam0_data7,qspim1_data3,apbio_29,fpgaio_29
JA[1],IO_50,50,,sdio0_data3,,apbio_30,fpgaio_30
JA[2],IO_51,51,,sdio0_cmd,,apbio_31,fpgaio_31
JA[3],IO_52,52,,sdio0_data0,,apbio_32,fpgaio_32
JA[4],IO_53,53,,sdio0_clk,,apbio_43,fpgaio_33
JA[7],IO_54,54,,sdio0_data1,,apbio_44,fpgaio_34
JA[8],IO_55,55,,sdio0_data2,,apbio_45,fpgaio_35
JA[9],IO_56,56,,apbio_50,apbio_0,apbio_46,fpgaio_36
JA[10],IO_57,57,stm,,,,
SW[1],IO_58,58,bootsel,,,,fpgaio_37
TMP_SCL,IO_59,59,,i2cm1_scl,,,fpgaio_38
TMP_SDA,IO_60,60,,i2cm1_sda,,,fpgaio_39
